Sp_code.ORIG,genus.ORIG,species.ORIG,spec.name.ORIG,family,genus,specificEpithet,scientificName,scientificNameAuthorship,Old.status,taxonomicStatus,New.accepted,Sp_code
Ast gra,Astronium,graveolens,Astronium graveolens,Anacardiaceae,Astronium,graveolens,Astronium graveolens,Jacq.,NA,Accepted,FALSE,Ast gra
Spo mom,Spondias,mombin,Spondias mombin,Anacardiaceae,Spondias,mombin,Spondias mombin,L.,NA,Accepted,FALSE,Spo mom
Spo pur,Spondias,purpurea,Spondias purpurea,Anacardiaceae,Spondias,purpurea,Spondias purpurea,L.,NA,Accepted,FALSE,Spo pur
Ann pur,Annona,purpurea,Annona purpurea,Annonaceae,Annona,purpurea,Annona purpurea,Moc. & Sessé ex Dunal,NA,Accepted,FALSE,Ann pur
Ann ret,Annona,reticulata,Annona reticulata,Annonaceae,Annona,reticulata,Annona reticulata,L.,NA,Accepted,FALSE,Ann ret
Sap pal,Sapranthus,palanga,Sapranthus palanga,Annonaceae,Sapranthus,palanga,Sapranthus palanga,R.E.Fr.,NA,Accepted,FALSE,Sap pal
The ova,Thevetia,ovata,Thevetia ovata,Apocynaceae,Cascabela,ovata,Cascabela ovata,(Cav.) Lippold,Synonym,Accepted,TRUE,Cas ova
Ste obo,Stemmadenia,obovata,Stemmadenia obovata,Apocynaceae,Tabernaemontana,glabra,Tabernaemontana glabra,(Benth.) A.O.Simões & M.E.Endress,Synonym,Accepted,TRUE,Tab gla
Sci exc,Sciadodendron,excelsum,Sciadodendron excelsum,Araliaceae,Aralia,excelsa,Aralia excelsa,(Griseb.) J.Wen,Synonym,Accepted,TRUE,Ara exc
Acr acu,Acrocomia,aculeata,Acrocomia aculeata,Arecaceae,Acrocomia,aculeata,Acrocomia aculeata,(Jacq.) Lodd. ex Mart.,NA,Accepted,FALSE,Acr acu
Per gra,Perymenium,grande,Perymenium grande,Asteraceae,Perymenium,grande,Perymenium grande,Hemsl.,NA,Accepted,FALSE,Per gra
Cre ala,Crescentia,alata,Crescentia alata,Bignoniaceae,Crescentia,alata,Crescentia alata,Kunth,NA,Accepted,FALSE,Cre ala
God aes,Godmania,aesculifolia,Godmania aesculifolia,Bignoniaceae,Godmania,aesculifolia,Godmania aesculifolia,(Kunth) Standl.,NA,Accepted,FALSE,God aes
Tab imp,Tabebuia,impetiginosa,Tabebuia impetiginosa,Bignoniaceae,Handroanthus,impetiginosus,Handroanthus impetiginosus,(Mart. ex DC.) Mattos,Synonym,Accepted,TRUE,Han imp
Tab och,Tabebuia,ochracea,Tabebuia ochracea,Bignoniaceae,Handroanthus,ochraceus,Handroanthus ochraceus,(Cham.) Mattos,Synonym,Accepted,TRUE,Han och
Tab ros,Tabebuia,rosea,Tabebuia rosea,Bignoniaceae,Tabebuia,rosea,Tabebuia rosea,(Bertol.) DC.,NA,Accepted,FALSE,Tab ros
Coc vit,Cochlospermum,vitifolium,Cochlospermum vitifolium,Bixaceae,Cochlospermum,vitifolium,Cochlospermum vitifolium,(Willd.) Spreng.,NA,Accepted,FALSE,Coc vit
Bur sim,Bursera,simaruba,Bursera simaruba,Burseraceae,Bursera,simaruba,Bursera simaruba,(L.) Sarg.,NA,Accepted,FALSE,Bur sim
Bur tom,Bursera,tomentosa,Bursera tomentosa,Burseraceae,Bursera,tomentosa,Bursera tomentosa,(Jacq.) Triana & Planch.,NA,Accepted,FALSE,Bur tom
Tre mic,Trema,micrantha,Trema micrantha,Cannabaceae,Trema,micranthum,Trema micranthum,(L.) Blume,NA,Accepted,FALSE,Tre mic
Cra tap,Crataeva,tapia,Crataeva tapia,Capparaceae,Crateva,tapia,Crateva tapia,L.,NA,Accepted,FALSE,Cra tap
Cap ind,Capparis,indica,Capparis indica,Capparaceae,Morisonia,indica,Morisonia indica,(L.) ined.,Synonym,Accepted,TRUE,Mor ind
May seg,Maytenus,segoviarum,Maytenus segoviarum,Celastraceae,Maytenus,segoviarum,Maytenus segoviarum,Standl. & L.O.Williams,NA,Accepted,FALSE,May seg
Sem mex,Semialarium,mexicanum,Semialarium mexicanum,Celastraceae,Semialarium,mexicanum,Semialarium mexicanum,(Miers) Mennega,NA,Accepted,FALSE,Sem mex
Hyr rac,Hyrtella,racemosa,Hyrtella racemosa,Chrysobalanaceae,Hirtella,racemosa,Hirtella racemosa,Lam.,NA,Accepted,FALSE,Hir rac
Lic arb,Licania,arborea,Licania arborea,Chrysobalanaceae,Microdesmia,arborea,Microdesmia arborea,(Seem.) Sothers & Prance,Synonym,Accepted,TRUE,Mic arb
