plot,subplot,tree,stem,dendrometer,Sp_code,obsYear,dbh_dendro_cm,liana,phenology,canopy,mortality,QC,Notes
1,3,10,10,10,Lue spe,2021,17.05804542502039,1,3,3,0,1,NA
1,3,10,10,10,Lue spe,2022,17.123458601042152,1,3,4,0,1,NA
1,3,10,10,10,Lue spe,2023,17.097846018830232,1,2,3,0,1,NA
1,3,10,10,10,Lue spe,2024,17.10210974169727,1,3,4,0,1,new dendro 2024
1,3,10,10,10,Lue spe,2025,17.124392475962043,1,3,4,0,1,NA
1,4,12,12,45,Coc vit,2021,28.754786568742013,0,5,5,0,1,NA
1,4,12,12,45,Coc vit,2022,28.905708150162905,0,1,5,0,1,NA
1,4,12,12,45,Coc vit,2023,NA,NA,NA,NA,1,-1,dead 2023
1,4,14,14,14,Bur tom,2021,19.755750245967064,0,3,4,0,1,NA
1,4,14,14,14,Bur tom,2022,NA,0,1,4,0,-1,not measured
1,4,14,14,14,Bur tom,2023,NA,0,0,4,0,-1,new dendro 2023 - not measured
1,4,14,14,14,Bur tom,2024,19.85825489467449,0,1,4,0,1,NA
1,4,14,14,14,Bur tom,2025,20.10304835389099,0,1,4,0,1,NA
1,5,15,15,15,Reh tri,2021,26.38379788578606,0,3,5,0,1,NA
1,5,15,15,15,Reh tri,2022,26.37825687440885,0,2,5,0,1,NA
1,5,15,15,15,Reh tri,2023,26.385752202643,0,2,5,0,1,NA
1,5,15,15,15,Reh tri,2024,26.440236746643336,0,2,5,0,1,NA
1,5,15,15,15,Reh tri,2025,26.55575203099523,0,2,5,0,1,NA
1,5,17,17,17,Bur tom,2021,16.993126920626057,0,3,4,0,1,NA
1,5,17,17,17,Bur tom,2022,16.949196904130716,0,1,3,0,1,NA
1,5,17,17,17,Bur tom,2023,16.964990815337195,0,1,3,0,1,NA
1,5,17,17,17,Bur tom,2024,17.045740973300518,0,1,3,0,1,NA
1,5,17,17,17,Bur tom,2025,17.07268410171359,0,1,3,0,1,NA
1,7,1701,1701,1701,Ard rev,2021,7.992357594398198,0,3,3,0,1,NA
1,7,1701,1701,1701,Ard rev,2022,7.93820815843563,0,3,3,0,1,NA
1,7,1701,1701,1701,Ard rev,2023,8.042437752632924,0,3,3,0,1,NA
1,7,1701,1701,1701,Ard rev,2024,8.070231396414178,1,3,3,0,1,NA
1,7,1701,1701,1701,Ard rev,2025,8.050741240246747,0,3,3,0,1,NA
1,7,1701,2402,2402,Ard rev,2024,7.2,1,3,3,0,1,new entry 2024
1,7,1701,2402,2402,Ard rev,2025,7.2767395252469855,0,3,3,0,1,NA
1,3,1702,1702,1702,May seg,2021,7.704222386466472,2,3,2,0,1,NA
1,3,1702,1702,1702,May seg,2022,7.691307201476533,1,3,3,0,1,NA
1,3,1702,1702,1702,May seg,2023,7.881698567753046,1,3,3,0,1,new dendro 2023
1,3,1702,1702,1702,May seg,2024,8.160008258910656,3,3,4,0,1,NA
1,3,1702,1702,1702,May seg,2025,9.122432515370376,2,3,3,0,1,NA
1,6,1704,1704,1704,Seb pav,2021,8.00079619570865,0,3,3,0,1,NA
1,6,1704,1704,1704,Seb pav,2022,8.083914646196288,0,3,3,0,1,NA
1,6,1704,1704,1704,Seb pav,2023,8.292718762172596,0,3,3,0,1,NA
1,6,1704,1704,1704,Seb pav,2024,8.451461491580051,0,3,3,0,1,NA
1,6,1704,1704,1704,Seb pav,2025,8.592141636882143,0,3,2,0,1,NA
1,5,18,18,18,Bur tom,2021,22.772582851836795,0,2,4,0,1,NA
1,5,18,18,18,Bur tom,2022,22.81433188662222,0,1,4,0,1,NA
1,5,18,18,18,Bur tom,2023,22.8844287946897,0,1,4,0,1,NA
1,5,18,18,18,Bur tom,2024,22.903509977781475,0,1,4,0,1,NA
1,5,18,18,18,Bur tom,2025,23.05058645241833,0,1,4,0,1,NA
1,4,1801,1801,1801,Bur tom,2021,8.36617049739547,1,3,4,0,1,NA
1,4,1801,1801,1801,Bur tom,2022,8.63675131326388,1,1,3,0,1,NA
1,4,1801,1801,1801,Bur tom,2023,8.833997530947897,0,1,4,0,1,NA
1,4,1801,1801,1801,Bur tom,2024,9.213518454197793,2,2,2,0,1,NA
1,4,1801,1801,1801,Bur tom,2025,9.594127281037252,1,1,4,0,1,new dendro 2025
1,5,19,19,19,Lue spe,2021,12.416915089600849,0,3,3,0,1,NA
1,5,19,19,19,Lue spe,2022,12.437800574522134,0,2,3,0,1,NA
1,5,19,19,19,Lue spe,2023,12.391277135572883,0,2,3,0,1,NA
1,5,19,19,19,Lue spe,2024,12.435560614081314,0,3,3,0,1,NA
1,5,19,19,19,Lue spe,2025,12.449767718773744,1,3,2,0,1,NA
1,5,1901,1901,1901,Dio sal,2021,9.630300794418936,1,3,4,0,1,NA
1,5,1901,1901,1901,Dio sal,2022,9.73264260373851,0,3,3,0,1,NA
1,5,1901,1901,1901,Dio sal,2023,9.947698509581407,0,3,4,0,1,NA
1,5,1901,1901,1901,Dio sal,2024,10.17331763782491,0,3,3,0,1,NA
1,5,1901,1901,1901,Dio sal,2025,10.390050654923265,0,3,2,0,1,NA
1,5,1902,1902,1902,Seb pav,2021,8.293306013748127,0,3,3,0,1,NA
1,5,1902,1902,1902,Seb pav,2022,8.624133629113356,0,3,2,0,1,NA
1,5,1902,1902,1902,Seb pav,2023,8.79834701543258,0,3,3,0,1,NA
1,5,1902,1902,1902,Seb pav,2024,8.931136399499962,0,3,3,0,1,new dendro 2024
1,5,1902,1902,1902,Seb pav,2025,9.134872304563762,0,3,3,0,1,NA
1,2,1906,1906,1906,Reh tri,2021,9.152608417260945,0,3,5,0,1,NA
1,2,1906,1906,1906,Reh tri,2022,9.189656661365929,1,3,4,0,1,NA
1,2,1906,1906,1906,Reh tri,2023,9.200206938398326,0,2,4,0,1,NA
1,2,1906,1906,1906,Reh tri,2024,9.242461127833511,0,2,4,0,1,NA
1,2,1906,1906,1906,Reh tri,2025,9.210440756187497,0,1,4,0,1,NA
1,5,20,20,20,Coc vit,2021,33.99961817505696,0,2,5,0,1,NA
1,5,20,20,20,Coc vit,2022,34.0735302448382,0,1,4,0,1,NA
1,5,20,20,20,Coc vit,2023,34.05374314563122,0,1,4,0,1,NA
1,5,20,20,20,Coc vit,2024,33.88800611485621,0,1,4,0,1,NA
1,5,20,20,20,Coc vit,2025,34.05085035669571,0,1,4,0,1,NA
1,5,2001,2001,2001,Hae bra,2021,8.331164954800773,1,3,3,0,1,NA
1,5,2001,2001,2001,Hae bra,2022,8.510502955104144,0,3,3,0,1,NA
1,5,2001,2001,2001,Hae bra,2023,8.828421844932873,0,3,4,0,1,NA
1,5,2001,2001,2001,Hae bra,2024,9.189099934107576,0,3,2,0,1,NA
1,5,2001,2001,2001,Hae bra,2025,9.476814730738704,1,3,4,0,1,NA
1,5,2001,2119,2119,Hae bra,2021,7.2,1,3,3,0,1,new entry 2021
1,5,2001,2119,2119,Hae bra,2022,7.619213535232836,2,3,3,0,1,NA
1,5,2001,2119,2119,Hae bra,2023,7.797687493114547,2,3,4,0,1,NA
1,5,2001,2119,2119,Hae bra,2024,8.125216353301527,1,3,2,0,1,new dendro 2024
